cycle_number,top_solid_layers,print_speed,extrusion_width,extrusion_multiplier,temperature,fan_speed
1,5,59,0.381,1.11,216,39
2,5,62,0.41,1.084,227,65
3,5,53,0.456,1.123,219,38
4,5,79,0.454,1.191,216,50
5,5,50,0.429,1.057,230,44
6,5,67,0.449,1.056,223,67
7,5,75,0.436,1.169,234,66
8,5,66,0.464,1.059,219,64
9,5,56,0.497,1.153,216,57
10,5,67,0.383,1.092,234,43
11,5,68,0.499,1.199,232,75
12,5,54,0.407,1.171,227,42
13,5,74,0.399,1.151,230,30
14,5,79,0.451,1.113,235,37
15,5,85,0.391,1.185,220,47
16,5,55,0.438,1.122,232,76
17,5,70,0.434,1.063,235,33
18,5,80,0.494,1.132,232,35
19,5,67,0.475,1.115,221,47
20,5,88,0.487,1.078,223,68
21,5,61,0.483,1.166,227,58
22,5,64,0.397,1.18,222,45
23,5,65,0.393,1.093,234,48
24,5,62,0.493,1.192,218,60
25,5,69,0.393,1.182,234,78
26,5,90,0.478,1.104,223,56
27,5,68,0.474,1.071,225,50
28,5,61,0.391,1.08,224,75
29,5,83,0.424,1.181,227,37
30,5,53,0.473,1.164,230,70
31,5,70,0.426,1.177,219,61
32,5,85,0.406,1.142,231,55
33,5,64,0.468,1.097,224,31
34,5,57,0.404,1.086,223,78
35,5,55,0.403,1.102,229,38
36,5,84,0.419,1.185,233,63
37,5,57,0.42,1.154,216,51
38,5,76,0.44,1.174,221,40
39,5,66,0.444,1.095,228,60
40,5,72,0.411,1.156,215,46
41,5,63,0.385,1.095,226,74
42,5,71,0.402,1.062,222,79
43,5,51,0.445,1.193,228,32
44,5,78,0.499,1.072,216,72
45,5,71,0.389,1.082,234,49
46,5,61,0.495,1.172,233,65
47,5,86,0.447,1.13,227,33
48,5,84,0.395,1.135,219,51
49,5,87,0.387,1.146,231,36
50,5,79,0.462,1.099,229,48
51,5,73,0.453,1.124,226,35
52,5,82,0.491,1.073,217,41
53,5,54,0.414,1.053,222,62
54,5,78,0.432,1.198,222,42
55,5,50,0.436,1.074,230,54
56,5,77,0.417,1.117,221,79
57,5,82,0.476,1.128,218,59
58,5,53,0.43,1.09,218,67
59,5,87,0.472,1.162,220,71
60,5,71,0.483,1.112,218,53
61,5,89,0.486,1.141,232,40
62,5,76,0.466,1.176,231,74
63,5,69,0.382,1.178,229,54
64,5,73,0.442,1.157,225,49
65,5,80,0.427,1.14,220,62
66,5,77,0.455,1.065,232,43
67,5,65,0.481,1.164,224,34
68,5,60,0.452,1.111,216,34
69,5,74,0.459,1.197,224,45
70,5,89,0.423,1.188,221,70
71,5,51,0.461,1.068,225,58
72,5,87,0.465,1.136,233,66
73,5,52,0.443,1.187,225,72
74,5,73,0.386,1.108,226,46
75,5,58,0.48,1.052,220,56
76,5,83,0.425,1.088,226,64
77,5,57,0.459,1.16,229,41
78,5,72,0.44,1.15,215,52
79,5,82,0.432,1.058,228,39
80,5,60,0.417,1.126,226,73
81,5,66,0.447,1.107,220,36
82,5,81,0.489,1.167,221,63
83,5,80,0.386,1.134,231,55
84,5,85,0.495,1.05,217,76
85,5,63,0.482,1.1,218,61
86,5,55,0.469,1.076,223,68
87,5,75,0.421,1.105,233,77
88,5,83,0.49,1.127,217,53
89,5,88,0.433,1.12,228,59
90,5,52,0.396,1.138,228,57
91,5,59,0.467,1.144,230,69
92,5,70,0.409,1.195,218,80
93,5,63,0.401,1.159,231,52
94,5,77,0.485,1.149,217,44
95,5,86,0.457,1.067,225,77
96,5,89,0.47,1.079,222,73
97,5,56,0.413,1.146,227,69
98,5,58,0.398,1.064,229,71
99,5,59,0.41,1.118,234,32
100,5,75,0.416,1.085,222,31
