cycle_number,top_solid_layers,print_speed,extrusion_width,extrusion_multiplier,temperature,fan_speed
1,5,58,0.417,1.18,223,52
2,5,58,0.417,1.18,223,52
3,5,58,0.417,1.18,223,52
4,5,58,0.417,1.18,223,52
5,5,58,0.417,1.18,223,52
6,5,58,0.417,1.18,223,52
7,5,58,0.417,1.18,223,52
8,5,58,0.417,1.18,223,52
9,5,58,0.417,1.18,223,52
10,5,58,0.417,1.18,223,52
11,8,82,0.404,1.062,215,69
12,8,82,0.404,1.062,215,69
13,8,82,0.404,1.062,215,69
14,8,82,0.404,1.062,215,69
15,8,82,0.404,1.062,215,69
16,8,82,0.404,1.062,215,69
17,8,82,0.404,1.062,215,69
18,8,82,0.404,1.062,215,69
19,8,82,0.404,1.062,215,69
20,8,82,0.404,1.062,215,69
21,9,69,0.461,1.111,228,53
22,9,69,0.461,1.111,228,53
23,9,69,0.461,1.111,228,53
24,9,69,0.461,1.111,228,53
25,9,69,0.461,1.111,228,53
26,9,69,0.461,1.111,228,53
27,9,69,0.461,1.111,228,53
28,9,69,0.461,1.111,228,53
29,9,69,0.461,1.111,228,53
30,9,69,0.461,1.111,228,53
31,4,83,0.477,1.096,229,79
32,4,83,0.477,1.096,229,79
33,4,83,0.477,1.096,229,79
34,4,83,0.477,1.096,229,79
35,4,83,0.477,1.096,229,79
36,4,83,0.477,1.096,229,79
37,4,83,0.477,1.096,229,79
38,4,83,0.477,1.096,229,79
39,4,83,0.477,1.096,229,79
40,4,83,0.477,1.096,229,79
41,7,79,0.493,1.12,221,56
42,7,79,0.493,1.12,221,56
43,7,79,0.493,1.12,221,56
44,7,79,0.493,1.12,221,56
45,7,79,0.493,1.12,221,56
46,7,79,0.493,1.12,221,56
47,7,79,0.493,1.12,221,56
48,7,79,0.493,1.12,221,56
49,7,79,0.493,1.12,221,56
50,7,79,0.493,1.12,221,56
51,5,75,0.497,1.104,233,54
52,5,75,0.497,1.104,233,54
53,5,75,0.497,1.104,233,54
54,5,75,0.497,1.104,233,54
55,5,75,0.497,1.104,233,54
56,5,75,0.497,1.104,233,54
57,5,75,0.497,1.104,233,54
58,5,75,0.497,1.104,233,54
59,5,75,0.497,1.104,233,54
60,5,75,0.497,1.104,233,54
61,4,88,0.409,1.189,225,66
62,4,88,0.409,1.189,225,66
63,4,88,0.409,1.189,225,66
64,4,88,0.409,1.189,225,66
65,4,88,0.409,1.189,225,66
66,4,88,0.409,1.189,225,66
67,4,88,0.409,1.189,225,66
68,4,88,0.409,1.189,225,66
69,4,88,0.409,1.189,225,66
70,4,88,0.409,1.189,225,66
71,9,67,0.421,1.076,220,54
72,9,67,0.421,1.076,220,54
73,9,67,0.421,1.076,220,54
74,9,67,0.421,1.076,220,54
75,9,67,0.421,1.076,220,54
76,9,67,0.421,1.076,220,54
77,9,67,0.421,1.076,220,54
78,9,67,0.421,1.076,220,54
79,9,67,0.421,1.076,220,54
80,9,67,0.421,1.076,220,54
81,5,68,0.451,1.137,216,67
82,5,68,0.451,1.137,216,67
83,5,68,0.451,1.137,216,67
84,5,68,0.451,1.137,216,67
85,5,68,0.451,1.137,216,67
86,5,68,0.451,1.137,216,67
87,5,68,0.451,1.137,216,67
88,5,68,0.451,1.137,216,67
89,5,68,0.451,1.137,216,67
90,5,68,0.451,1.137,216,67
91,7,59,0.48,1.166,224,52
92,7,59,0.48,1.166,224,52
93,7,59,0.48,1.166,224,52
94,7,59,0.48,1.166,224,52
95,7,59,0.48,1.166,224,52
96,7,59,0.48,1.166,224,52
97,7,59,0.48,1.166,224,52
98,7,59,0.48,1.166,224,52
99,7,59,0.48,1.166,224,52
100,7,59,0.48,1.166,224,52
