cycle_number,top_solid_layers,print_speed,extrusion_width,extrusion_multiplier,temperature,fan_speed
1,5,76,0.498,1.132,229,63
2,5,76,0.498,1.132,229,63
3,5,76,0.498,1.132,229,63
4,5,76,0.498,1.132,229,63
5,5,76,0.498,1.132,229,63
6,5,76,0.498,1.132,229,63
7,5,76,0.498,1.132,229,63
8,5,76,0.498,1.132,229,63
9,5,76,0.498,1.132,229,63
10,5,76,0.498,1.132,229,63
11,5,76,0.498,1.132,229,63
12,5,76,0.498,1.132,229,63
13,5,76,0.498,1.132,229,63
14,5,76,0.498,1.132,229,63
15,5,76,0.498,1.132,229,63
16,5,76,0.498,1.132,229,63
17,5,76,0.498,1.132,229,63
18,5,76,0.498,1.132,229,63
19,5,76,0.498,1.132,229,63
20,5,76,0.498,1.132,229,63
21,5,76,0.498,1.132,229,63
22,5,76,0.498,1.132,229,63
23,5,76,0.498,1.132,229,63
24,5,76,0.498,1.132,229,63
25,5,76,0.498,1.132,229,63
26,9,52,0.497,1.14,220,74
27,9,52,0.497,1.14,220,74
28,9,52,0.497,1.14,220,74
29,9,52,0.497,1.14,220,74
30,9,52,0.497,1.14,220,74
31,9,52,0.497,1.14,220,74
32,9,52,0.497,1.14,220,74
33,9,52,0.497,1.14,220,74
34,9,52,0.497,1.14,220,74
35,9,52,0.497,1.14,220,74
36,9,52,0.497,1.14,220,74
37,9,52,0.497,1.14,220,74
38,9,52,0.497,1.14,220,74
39,9,52,0.497,1.14,220,74
40,9,52,0.497,1.14,220,74
41,9,52,0.497,1.14,220,74
42,9,52,0.497,1.14,220,74
43,9,52,0.497,1.14,220,74
44,9,52,0.497,1.14,220,74
45,9,52,0.497,1.14,220,74
46,9,52,0.497,1.14,220,74
47,9,52,0.497,1.14,220,74
48,9,52,0.497,1.14,220,74
49,9,52,0.497,1.14,220,74
50,9,52,0.497,1.14,220,74
51,4,65,0.445,1.09,230,54
52,4,65,0.445,1.09,230,54
53,4,65,0.445,1.09,230,54
54,4,65,0.445,1.09,230,54
55,4,65,0.445,1.09,230,54
56,4,65,0.445,1.09,230,54
57,4,65,0.445,1.09,230,54
58,4,65,0.445,1.09,230,54
59,4,65,0.445,1.09,230,54
60,4,65,0.445,1.09,230,54
61,4,65,0.445,1.09,230,54
62,4,65,0.445,1.09,230,54
63,4,65,0.445,1.09,230,54
64,4,65,0.445,1.09,230,54
65,4,65,0.445,1.09,230,54
66,4,65,0.445,1.09,230,54
67,4,65,0.445,1.09,230,54
68,4,65,0.445,1.09,230,54
69,4,65,0.445,1.09,230,54
70,4,65,0.445,1.09,230,54
71,4,65,0.445,1.09,230,54
72,4,65,0.445,1.09,230,54
73,4,65,0.445,1.09,230,54
74,4,65,0.445,1.09,230,54
75,4,65,0.445,1.09,230,54
76,7,62,0.493,1.142,218,54
77,7,62,0.493,1.142,218,54
78,7,62,0.493,1.142,218,54
79,7,62,0.493,1.142,218,54
80,7,62,0.493,1.142,218,54
81,7,62,0.493,1.142,218,54
82,7,62,0.493,1.142,218,54
83,7,62,0.493,1.142,218,54
84,7,62,0.493,1.142,218,54
85,7,62,0.493,1.142,218,54
86,7,62,0.493,1.142,218,54
87,7,62,0.493,1.142,218,54
88,7,62,0.493,1.142,218,54
89,7,62,0.493,1.142,218,54
90,7,62,0.493,1.142,218,54
91,7,62,0.493,1.142,218,54
92,7,62,0.493,1.142,218,54
93,7,62,0.493,1.142,218,54
94,7,62,0.493,1.142,218,54
95,7,62,0.493,1.142,218,54
96,7,62,0.493,1.142,218,54
97,7,62,0.493,1.142,218,54
98,7,62,0.493,1.142,218,54
99,7,62,0.493,1.142,218,54
100,7,62,0.493,1.142,218,54
