run_number,attempt_number,strategy,optimizer_iteration,top_solid_layers,print_speed,extrusion_width,extrusion_multiplier,temperature,fan_speed,objective_value,Ra_um,Rz_um,cycle_id
1,1,bayesian,,5,52.3,0.457,1.093,217,79,3.531333,3.531333,18.362932,simulation-run-0001-attempt-1
2,1,bayesian,,5,80.2,0.477,1.133,229,49,3.12862,3.12862,16.268824,simulation-run-0002-attempt-1
3,1,bayesian,,5,76.3,0.382,1.176,221,62,4.338322,4.338322,22.559274,simulation-run-0003-attempt-1
4,1,bayesian,,5,67.7,0.423,1.085,231,35,3.724053,3.724053,19.365076,simulation-run-0004-attempt-1
5,1,bayesian,0,5,90.0,0.5,1.086,235,30,6.50576,6.50576,33.829952,simulation-run-0005-attempt-1
6,1,bayesian,1,5,50.0,0.38,1.05,229,80,4.988,4.988,25.9376,simulation-run-0006-attempt-1
7,1,bayesian,2,5,76.5,0.486,1.103,229,30,4.276203,4.276203,22.236256,simulation-run-0007-attempt-1
8,1,bayesian,3,5,70.0,0.435,1.119,229,48,2.53737,2.53737,13.194324,simulation-run-0008-attempt-1
9,1,bayesian,4,5,57.1,0.5,1.2,228,45,4.249123,4.249123,22.09544,simulation-run-0009-attempt-1
10,1,bayesian,5,5,89.4,0.392,1.115,230,63,4.49697,4.49697,23.384244,simulation-run-0010-attempt-1
11,1,bayesian,6,5,74.9,0.431,1.199,221,78,4.011293,4.011293,20.858724,simulation-run-0011-attempt-1
12,1,bayesian,7,5,77.2,0.45,1.097,229,69,2.60212,2.60212,13.531024,simulation-run-0012-attempt-1
