"cycle_id","mode","status","failed_stage","error","started_at","finished_at","duration_seconds","stl_path","profile_path","profile_sha256","gcode_path","camera_image_path","Ra_um","Rz_um","printer_states","parameter_top_solid_layers","parameter_print_speed","parameter_extrusion_width","parameter_extrusion_multiplier","parameter_temperature","parameter_fan_speed"
"06483e64d67644229f9a438886fea254","full","completed","","","2026-08-29T16:14:37.069092+00:00","2026-08-29T16:23:05.730903+00:00","508.662","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0001_attempt_01_profile.ini","2dc05d77484bb88915beaf154e514564ae9a5f7fd78fd8e437b6829b4030653b","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0001_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/06483e64d67644229f9a438886fea254.jpg","35.548","195.749","PRINTING -> FINISHED","5","50.9","0.459","1.052","226","45"
"3785295edc9c422eb1f01d8a67a48f7c","full","completed","","","2026-08-29T16:23:05.782609+00:00","2026-08-29T16:31:04.645080+00:00","478.862","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0002_attempt_01_profile.ini","7364bfd64e1d9d12f971c872edf4cc5fdc9d84c2498894a5312f6b461e50efc0","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0002_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/3785295edc9c422eb1f01d8a67a48f7c.jpg","19.053","109.766","PRINTING -> FINISHED","5","58.1","0.383","1.068","233","38"
"d705468649bf40a6a114b3f0df9fadf5","full","completed","","","2026-08-29T16:31:04.676663+00:00","2026-08-29T16:39:04.131813+00:00","479.455","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0003_attempt_01_profile.ini","f2abaec1a398b4076b1649deef497fa6ebd3495ddb338e7d3e861776e5779fdf","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0003_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/d705468649bf40a6a114b3f0df9fadf5.jpg","11.387","62.537","PRINTING -> FINISHED","5","68.5","0.405","1.175","233","53"
"ca90d032326040c3984dbac7165ea374","full","completed","","","2026-08-29T16:39:04.168204+00:00","2026-08-29T16:47:03.167724+00:00","479.0","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0004_attempt_01_profile.ini","54e3fa3d57d1605bdc27501c9aba3987b450f9b586112c10a24b203880485d63","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0004_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/ca90d032326040c3984dbac7165ea374.jpg","25.486","157.28","PRINTING -> FINISHED","5","77.1","0.481","1.139","217","72"
"a20cea434db3429e8cc2de28890d9f0a","full","completed","","","2026-08-29T16:47:03.206218+00:00","2026-08-29T16:55:02.095119+00:00","478.889","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0005_attempt_01_profile.ini","3e527b0323b8b0acd8ac143e8c959be551787b2dbe59aa7c4b66dee48738a1c5","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0005_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/a20cea434db3429e8cc2de28890d9f0a.jpg","27.6","165.155","PRINTING -> FINISHED","5","87","0.424","1.08","229","66"
"2c467a8f5e4b4d629a5a5043d1354f69","full","completed","","QS measurement failed twice; penalty values were used. First error: QualityStationClientError: QS measurement failed with HTTP 409: {'type': 'invalid_state', 'message': 'CTSTA was accepted, but no measurement movement was detected within 30.0 seconds.'}; second error: QualityStationClientError: QS measurement failed with HTTP 409: {'type': 'invalid_state', 'message': 'CTSTA was accepted, but no measurement movement was detected within 30.0 seconds.'}","2026-08-29T16:55:02.138701+00:00","2026-08-29T17:03:45.248199+00:00","523.11","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0006_attempt_01_profile.ini","dde85939398571c4adcda6adb7e9ea9cdb26575c6dbcce196911eb08d722ad3c","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0006_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/2c467a8f5e4b4d629a5a5043d1354f69.jpg","100.0","100.0","PRINTING -> FINISHED","5","57.2","0.434","1.109","217","62"
"0c23ed57fa9c4b8c97998065a8b20ec4","full","completed","","QS measurement failed twice; penalty values were used. First error: QualityStationClientError: QS measurement failed with HTTP 409: {'type': 'invalid_state', 'message': 'CTSTA was accepted, but no measurement movement was detected within 30.0 seconds.'}; second error: QualityStationClientError: QS measurement failed with HTTP 409: {'type': 'invalid_state', 'message': 'CTSTA was accepted, but no measurement movement was detected within 30.0 seconds.'}","2026-08-30T06:17:09.470430+00:00","2026-08-30T06:26:51.925591+00:00","582.455","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0006_attempt_02_profile.ini","dde85939398571c4adcda6adb7e9ea9cdb26575c6dbcce196911eb08d722ad3c","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0006_attempt_02.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/0c23ed57fa9c4b8c97998065a8b20ec4.jpg","100.0","100.0","PRINTING -> FINISHED","5","57.2","0.434","1.109","217","62"
"69be6a6307c34530a44fa93b38cd1789","full","completed","","","2026-08-30T06:26:52.042484+00:00","2026-08-30T06:35:06.591412+00:00","494.549","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0007_attempt_01_profile.ini","3298309965ccb1ba79d23565a90ff3d53847e58abc0427dedbb12448c8cbe7d5","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0007_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/69be6a6307c34530a44fa93b38cd1789.jpg","17.028","101.545","PRINTING -> FINISHED","5","63","0.392","1.12","224","58"
"64889baca7db47a8a9efd6f61fca6b56","full","completed","","","2026-08-30T06:35:06.755207+00:00","2026-08-30T06:43:07.214915+00:00","480.46","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0008_attempt_01_profile.ini","672a7002c83eec948a916bd04dde4279202175dd40ae7c3d1fa86b01f7c01fab","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0008_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/64889baca7db47a8a9efd6f61fca6b56.jpg","24.357","131.663","PRINTING -> FINISHED","5","85.2","0.498","1.193","229","47"
"51a8b6a61ab74d20a24eda40b0009fd7","full","completed","","QS measurement failed twice; penalty values were used. First error: QualityStationClientError: QS measurement failed with HTTP 422: {'type': 'device_error', 'code': '101', 'message': ""SJ-220 error 101: No calculation results available. Command: 'RDRES02,01,00'. Response: 'NG101'.""}; second error: QualityStationClientError: QS measurement failed with HTTP 409: {'type': 'invalid_state', 'message': 'CTSTA was accepted, but no measurement movement was detected within 30.0 seconds.'}","2026-08-30T06:43:07.354335+00:00","2026-08-30T06:51:28.522300+00:00","501.168","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/models/15x15_V2_rounded.stl","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/generated_profiles/run_0009_attempt_01_profile.ini","68d54382c56782a2fdb9e638d42c171c72fd32fc19b5f704b9aa88a7d7e5e9b5","/home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/gcode/run_0009_attempt_01.gcode","file:///home/hs-coburg.de/ali2644s/Projects/bachelor-3d-loop/3d-automation/data/optimization_runs/surface_roughness_bo_hardware_new_model_001/images/51a8b6a61ab74d20a24eda40b0009fd7.jpg","100.0","100.0","PRINTING -> FINISHED","5","80.3","0.442","1.159","220","31"
